# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-05-30 15:12:09 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11425500 SACRAMENTO R A VERONA CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11425500
#            TS   parameter     statistic     Description
#         10812       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	10812_00060_00003	10812_00060_00003_cd
USGS	11425500	1985-01-01	17400	A
USGS	11425500	1985-01-02	17200	A
USGS	11425500	1985-01-03	17100	A
USGS	11425500	1985-01-04	16500	A
USGS	11425500	1985-01-05	15800	A
USGS	11425500	1985-01-06	14800	A
USGS	11425500	1985-01-07	14600	A
USGS	11425500	1985-01-08	14900	A
USGS	11425500	1985-01-09	15100	A
USGS	11425500	1985-01-10	15500	A
USGS	11425500	1985-01-11	15400	A
USGS	11425500	1985-01-12	15300	A
USGS	11425500	1985-01-13	15000	A
USGS	11425500	1985-01-14	14900	A
USGS	11425500	1985-01-15	14800	A
USGS	11425500	1985-01-16	14800	A
USGS	11425500	1985-01-17	14400	A
USGS	11425500	1985-01-18	14200	A
USGS	11425500	1985-01-19	14200	A
USGS	11425500	1985-01-20	13700	A
USGS	11425500	1985-01-21	13500	A
USGS	11425500	1985-01-22	13200	A
USGS	11425500	1985-01-23	12900	A
USGS	11425500	1985-01-24	12600	A
USGS	11425500	1985-01-25	12400	A
USGS	11425500	1985-01-26	12300	A
USGS	11425500	1985-01-27	12200	A
USGS	11425500	1985-01-28	12100	A
USGS	11425500	1985-01-29	12100	A
USGS	11425500	1985-01-30	12200	A
USGS	11425500	1985-01-31	12300	A
USGS	11425500	1985-02-01	12500	A
USGS	11425500	1985-02-02	12600	A
USGS	11425500	1985-02-03	12800	A
USGS	11425500	1985-02-04	12700	A
USGS	11425500	1985-02-05	13000	A
USGS	11425500	1985-02-06	13000	A
USGS	11425500	1985-02-07	12800	A
USGS	11425500	1985-02-08	14800	A
USGS	11425500	1985-02-09	27500	A
USGS	11425500	1985-02-10	30400	A
USGS	11425500	1985-02-11	26000	A
USGS	11425500	1985-02-12	21700	A
USGS	11425500	1985-02-13	18600	A
USGS	11425500	1985-02-14	16600	A
USGS	11425500	1985-02-15	14800	A
USGS	11425500	1985-02-16	13500	A
USGS	11425500	1985-02-17	13100	A
USGS	11425500	1985-02-18	12800	A
USGS	11425500	1985-02-19	12700	A
USGS	11425500	1985-02-20	12600	A
USGS	11425500	1985-02-21	13500	A
USGS	11425500	1985-02-22	14200	A
USGS	11425500	1985-02-23	14300	A
USGS	11425500	1985-02-24	14200	A
USGS	11425500	1985-02-25	14100	A
USGS	11425500	1985-02-26	14100	A
USGS	11425500	1985-02-27	14100	A
USGS	11425500	1985-02-28	13400	A
USGS	11425500	1985-03-01	12600	A
USGS	11425500	1985-03-02	12100	A
USGS	11425500	1985-03-03	11700	A
USGS	11425500	1985-03-04	11600	A
USGS	11425500	1985-03-05	11300	A
USGS	11425500	1985-03-06	11400	A
USGS	11425500	1985-03-07	12400	A
USGS	11425500	1985-03-08	14700	A
USGS	11425500	1985-03-09	14900	A
USGS	11425500	1985-03-10	14900	A
USGS	11425500	1985-03-11	15800	A
USGS	11425500	1985-03-12	16800	A
USGS	11425500	1985-03-13	16000	A
USGS	11425500	1985-03-14	14800	A
USGS	11425500	1985-03-15	13500	A
USGS	11425500	1985-03-16	12100	A
USGS	11425500	1985-03-17	11300	A
USGS	11425500	1985-03-18	11100	A
USGS	11425500	1985-03-19	11000	A
USGS	11425500	1985-03-20	11000	A
USGS	11425500	1985-03-21	10600	A
USGS	11425500	1985-03-22	10100	A
USGS	11425500	1985-03-23	10100	A
USGS	11425500	1985-03-24	10100	A
USGS	11425500	1985-03-25	10200	A
USGS	11425500	1985-03-26	9970	A
USGS	11425500	1985-03-27	11300	A
USGS	11425500	1985-03-28	13400	A
USGS	11425500	1985-03-29	14800	A
USGS	11425500	1985-03-30	15100	A
USGS	11425500	1985-03-31	15000	A
USGS	11425500	1985-04-01	14100	A
USGS	11425500	1985-04-02	13400	A
USGS	11425500	1985-04-03	13400	A
USGS	11425500	1985-04-04	13100	A
USGS	11425500	1985-04-05	13000	A
USGS	11425500	1985-04-06	12900	A
USGS	11425500	1985-04-07	12400	A
USGS	11425500	1985-04-08	11900	A
USGS	11425500	1985-04-09	11800	A
USGS	11425500	1985-04-10	12000	A
USGS	11425500	1985-04-11	11700	A
USGS	11425500	1985-04-12	10600	A
USGS	11425500	1985-04-13	9900	A
USGS	11425500	1985-04-14	9680	A
USGS	11425500	1985-04-15	9670	A
USGS	11425500	1985-04-16	10100	A
USGS	11425500	1985-04-17	11000	A
USGS	11425500	1985-04-18	11400	A
USGS	11425500	1985-04-19	11300	A
USGS	11425500	1985-04-20	11300	A
USGS	11425500	1985-04-21	11100	A
USGS	11425500	1985-04-22	10800	A
USGS	11425500	1985-04-23	10800	A
