# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-05-30 09:28:06 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14211720 WILLAMETTE RIVER AT PORTLAND, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14211720
#            TS   parameter     statistic     Description
#        172765       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	172765_00060_00003	172765_00060_00003_cd
USGS	14211720	1985-01-01	62000	A
USGS	14211720	1985-01-02	53600	A
USGS	14211720	1985-01-03	47200	A
USGS	14211720	1985-01-04	41500	A
USGS	14211720	1985-01-05	38100	A
USGS	14211720	1985-01-06	35500	A
USGS	14211720	1985-01-07	33200	A
USGS	14211720	1985-01-08	31400	A
USGS	14211720	1985-01-09	30400	A
USGS	14211720	1985-01-10	28100	A
USGS	14211720	1985-01-11	25700	A
USGS	14211720	1985-01-12	24000	A
USGS	14211720	1985-01-13	22800	A
USGS	14211720	1985-01-14	22600	A
USGS	14211720	1985-01-15	22700	A
USGS	14211720	1985-01-16	22100	A
USGS	14211720	1985-01-17	21900	A
USGS	14211720	1985-01-18	22300	A
USGS	14211720	1985-01-19	22600	A
USGS	14211720	1985-01-20	22300	A
USGS	14211720	1985-01-21	22000	A
USGS	14211720	1985-01-22	21200	A
USGS	14211720	1985-01-23	20500	A
USGS	14211720	1985-01-24	19100	A
USGS	14211720	1985-01-25	18000	A
USGS	14211720	1985-01-26	17500	A
USGS	14211720	1985-01-27	16900	A
USGS	14211720	1985-01-28	16700	A
USGS	14211720	1985-01-29	16300	A
USGS	14211720	1985-01-30	15700	A
USGS	14211720	1985-01-31	14700	A
USGS	14211720	1985-02-01	14400	A
USGS	14211720	1985-02-02	14900	A
USGS	14211720	1985-02-03	15000	A
USGS	14211720	1985-02-04	14500	A
USGS	14211720	1985-02-05	14300	A
USGS	14211720	1985-02-06	14100	A
USGS	14211720	1985-02-07	15800	A
USGS	14211720	1985-02-08	28300	A
USGS	14211720	1985-02-09	40700	A
USGS	14211720	1985-02-10	41600	A
USGS	14211720	1985-02-11	40200	A
USGS	14211720	1985-02-12	58300	A
USGS	14211720	1985-02-13	62400	A
USGS	14211720	1985-02-14	53000	A
USGS	14211720	1985-02-15	48500	A
USGS	14211720	1985-02-16	47400	A
USGS	14211720	1985-02-17	41700	A
USGS	14211720	1985-02-18	36000	A
USGS	14211720	1985-02-19	31700	A
USGS	14211720	1985-02-20	31700	A
USGS	14211720	1985-02-21	30600	A
USGS	14211720	1985-02-22	29900	A
USGS	14211720	1985-02-23	30100	A
USGS	14211720	1985-02-24	29500	A
USGS	14211720	1985-02-25	29400	A
USGS	14211720	1985-02-26	28100	A
USGS	14211720	1985-02-27	26000	A
USGS	14211720	1985-02-28	24300	A
USGS	14211720	1985-03-01	23100	A
USGS	14211720	1985-03-02	22200	A
USGS	14211720	1985-03-03	21200	A
USGS	14211720	1985-03-04	21500	A
USGS	14211720	1985-03-05	22300	A
USGS	14211720	1985-03-06	21600	A
USGS	14211720	1985-03-07	20400	A
USGS	14211720	1985-03-08	19500	A
USGS	14211720	1985-03-09	18700	A
USGS	14211720	1985-03-10	18100	A
USGS	14211720	1985-03-11	18000	A
USGS	14211720	1985-03-12	18300	A
USGS	14211720	1985-03-13	17500	A
USGS	14211720	1985-03-14	16900	A
USGS	14211720	1985-03-15	16600	A
USGS	14211720	1985-03-16	16500	A
USGS	14211720	1985-03-17	16600	A
USGS	14211720	1985-03-18	16700	A
USGS	14211720	1985-03-19	16600	A
USGS	14211720	1985-03-20	16600	A
USGS	14211720	1985-03-21	17500	A
USGS	14211720	1985-03-22	18900	A
USGS	14211720	1985-03-23	25400	A
