agency_cd,site_no,datetime,119381_00060_00003,119381_00060_00003_cd
USGS,1570500,1985-01-01,70100,A
USGS,1570500,1985-01-02,66500,A
USGS,1570500,1985-01-03,59400,A
USGS,1570500,1985-01-04,53800,A
USGS,1570500,1985-01-05,49600,A
USGS,1570500,1985-01-06,45300,A
USGS,1570500,1985-01-07,40700,A
USGS,1570500,1985-01-08,36100,A
USGS,1570500,1985-01-09,33500,A
USGS,1570500,1985-01-10,29800,A
USGS,1570500,1985-01-11,25800,A
USGS,1570500,1985-01-12,21100,A
USGS,1570500,1985-01-13,17000,A
USGS,1570500,1985-01-14,16000,A
USGS,1570500,1985-01-15,16000,A
USGS,1570500,1985-01-16,16000,A
USGS,1570500,1985-01-17,17000,A
USGS,1570500,1985-01-18,18000,A
USGS,1570500,1985-01-19,17000,A
USGS,1570500,1985-01-20,13000,A
USGS,1570500,1985-01-21,9000,A
USGS,1570500,1985-01-22,8800,A
USGS,1570500,1985-01-23,7800,A
USGS,1570500,1985-01-24,7400,A
USGS,1570500,1985-01-25,13000,A
USGS,1570500,1985-01-26,15000,A
USGS,1570500,1985-01-27,14000,A
USGS,1570500,1985-01-28,15000,A
USGS,1570500,1985-01-29,16000,A
USGS,1570500,1985-01-30,15000,A
USGS,1570500,1985-01-31,15000,A
USGS,1570500,1985-02-01,14000,A
USGS,1570500,1985-02-02,13000,A
USGS,1570500,1985-02-03,13000,A
USGS,1570500,1985-02-04,12000,A
USGS,1570500,1985-02-05,12000,A
USGS,1570500,1985-02-06,11000,A
USGS,1570500,1985-02-07,10000,A
USGS,1570500,1985-02-08,9800,A
USGS,1570500,1985-02-09,9000,A
USGS,1570500,1985-02-10,8000,A
USGS,1570500,1985-02-11,12000,A
USGS,1570500,1985-02-12,16700,A
USGS,1570500,1985-02-13,39600,A
USGS,1570500,1985-02-14,51600,A
USGS,1570500,1985-02-15,34600,A
USGS,1570500,1985-02-16,29400,A
USGS,1570500,1985-02-17,25300,A
USGS,1570500,1985-02-18,23900,A
USGS,1570500,1985-02-19,23000,A
USGS,1570500,1985-02-20,21700,A
USGS,1570500,1985-02-21,20900,A
USGS,1570500,1985-02-22,22300,A
USGS,1570500,1985-02-23,22700,A
USGS,1570500,1985-02-24,26300,A
USGS,1570500,1985-02-25,48800,A
USGS,1570500,1985-02-26,110000,A
USGS,1570500,1985-02-27,114000,A
USGS,1570500,1985-02-28,93500,A
USGS,1570500,1985-03-01,74400,A
USGS,1570500,1985-03-02,60200,A
USGS,1570500,1985-03-03,51300,A
USGS,1570500,1985-03-04,44100,A
USGS,1570500,1985-03-05,39500,A
