station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SLE,1996-01-15 00:00,49.00,47.00,92.84,160.00,16.00,0.14,29.87,1011.50,4.00,M,BKN,OVC,   ,   ,4400.00,6000.00,M,M,RA FG,M,M,M,M,M,M,42.47,KSLE 150000Z 16016KT 4SM RA FG BKN044 OVC060 09/08 A2987 RMK 6035/ 10050 20045 PCPN 0014; SLP115 P0014 60011 T00940083 55080,M
SLE,1996-01-15 01:00,49.00,47.00,92.84,170.00,13.00,0.17,29.86,1011.30,4.00,M,BKN,OVC,   ,   ,4600.00,6000.00,M,M,RA FG,M,M,M,M,M,M,43.25,KSLE 150100Z 17013KT 4SM RA FG BKN046 OVC060 09/08 A2986 RMK OVC V BKN PCPN 0017; SLP113 P0017 T00940083,M
SLE,1996-01-15 02:00,50.00,47.00,89.17,170.00,17.00,0.04,29.85,1010.70,10.00,M,BKN,BKN,OVC,   ,3000.00,4100.00,6500.00,M,M,M,M,M,M,M,M,43.66,KSLE 150200Z 17017KT 10SM BKN030 BKN041 OVC065 10/08 A2985 RMK BKN V SCT RE55 PCPN 0004; SLP107 P0004 T01000083,M
SLE,1996-01-15 03:00,50.00,47.00,89.17,180.00,16.00,0.10,29.84,1010.60,10.00,24.00,SCT,BKN,OVC,   ,4400.00,7000.00,9000.00,M,-RA,M,M,M,30.00,170.00,M,43.88,KSLE 150300Z 18016G24KT 10SM -RA SCT044 BKN070 OVC090 10/08 A2984 RMK 6031/ RB00 PCPN 0010 PK WND 1730/0244; SLP106 P0010 T01000083 55080,M
SLE,1996-01-15 04:00,51.00,48.00,89.22,190.00,20.00,0.04,29.84,1010.50,10.00,26.00,SCT,BKN,OVC,   ,4600.00,5000.00,9000.00,M,M,M,M,M,26.00,180.00,M,51.08,KSLE 150400Z 19020G26KT 10SM SCT046 BKN050 OVC090 11/09 A2984 RMK RE53 PCPN 0004 PK WND 1826/0344; SLP105 P0004 T01060089,M
SLE,1996-01-15 05:00,52.00,48.00,86.30,180.00,22.00,M,29.83,1010.20,10.00,26.00,OVC,   ,   ,   ,4200.00,M,M,M,M,M,M,M,26.00,180.00,M,51.98,KSLE 150500Z 18022G26KT 10SM OVC042 11/09 A2983 RMK AO2A M42 OVC 10+ 102/52/48/1822G26/983/ PK WND 1826/0412 LAST AUGMENTED OBS; SLP102 T01110089,M
SLE,1996-01-15 06:00,53.00,48.00,82.94,180.00,20.00,0.01,29.82,1009.80,10.00,29.00,SCT,SCT,BKN,   ,2000.00,3900.00,4700.00,M,M,M,M,M,32.00,180.00,M,53.06,KSLE 150600Z 18020G29KT 10SM SCT020 SCT039 BKN047 12/09 A2982 RMK 6036/ 10053 20045 PCPN 0001 PK WND 1832/0540; SLP098 P0001 60005 T01170089 55080,M
SLE,1996-01-15 07:00,53.00,48.00,82.94,180.00,20.00,M,29.81,1009.40,10.00,26.00,BKN,OVC,   ,   ,3900.00,4700.00,M,M,M,M,M,M,30.00,170.00,M,53.06,KSLE 150700Z 18020G26KT 10SM BKN039 OVC047 12/09 A2981 RMK PK WND 1730/0602; SLP094 T01170089,M
SLE,1996-01-15 08:00,52.00,49.00,89.26,170.00,16.00,M,29.80,1009.00,10.00,M,SCT,BKN,OVC,   ,2400.00,3300.00,4400.00,M,-RA,M,M,M,M,M,M,51.98,KSLE 150800Z 17016KT 10SM -RA SCT024 BKN033 OVC044 11/09 A//// RMK SLP090 T01110094,M
SLE,1996-01-15 08:14,M,M,M,190.00,14.00,M,29.79,1008.90,10.00,19.00,BKN,BKN,OVC,   ,2400.00,3300.00,4700.00,M,M,M,M,M,M,M,M,M,KSLE 150814Z 19014G19KT 10SM BKN024 BKN033 OVC047 A2979 RMK OVC V BKN RE08 PCPN 0000; SLP089,M
SLE,1996-01-15 09:00,52.00,48.00,86.30,180.00,20.00,M,29.76,1008.00,10.00,26.00,SCT,SCT,SCT,   ,2600.00,4300.00,7000.00,M,M,M,M,M,26.00,180.00,M,51.98,KSLE 150900Z 18020G26KT 10SM SCT026 SCT043 SCT070 11/09 A2976 RMK 6000/ RE08 PCPN 0000 PK WND 1826/0851; SLP080 T01110089 55080,M
SLE,1996-01-15 10:00,53.00,48.00,82.94,190.00,15.00,M,29.74,1007.10,10.00,M,SCT,SCT,SCT,   ,4400.00,5500.00,12000.00,M,M,M,M,M,26.00,180.00,M,53.06,KSLE 151000Z 19015KT 10SM SCT044 SCT055 SCT120 12/09 A2974 RMK RB20E31 PCPN 0000 PK WND 1826/0911; SLP071 T01170089,M
SLE,1996-01-15 11:00,53.00,48.00,82.94,170.00,19.00,M,29.72,1006.50,10.00,24.00,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,53.06,KSLE 151100Z 17019G24KT 10SM CLR/// 12/09 A2972 RMK CLR BLO SLP065 T01170089 51020,M
SLE,1996-01-15 12:00,53.00,49.00,85.78,180.00,19.00,M,29.71,1005.90,10.00,24.00,BKN,OVC,   ,   ,6000.00,7500.00,M,M,-RA,M,M,M,M,M,M,53.06,KSLE 151200Z 18019G24KT 10SM -RA BKN060 OVC075 12/09 A2971 RMK 6000/ 70072 10053 20049 OVC V BKN RB37 PCPN 0000 PRESFR; SLP059 60025 70071 T01170094 55060,M
SLE,1996-01-15 12:06,M,M,M,220.00,21.00,M,29.75,1007.40,2.50,37.00,SCT,BKN,OVC,   ,1500.00,4000.00,7000.00,M,+RA FG,M,M,M,37.00,240.00,M,M,KSLE 151206Z 22021G37KT 21/2SM +RA FG SCT015 BKN040 OVC070 A2975 RMK BKN V SCT PCPN 0009 WSHFT PK WND 2437/1201 PRESRR; SLP074 8/146,M
SLE,1996-01-15 12:19,M,M,M,240.00,16.00,M,29.73,1006.90,4.00,22.00,BKN,OVC,   ,   ,3300.00,5000.00,M,M,+RA FG,M,M,M,37.00,240.00,M,M,KSLE 151219Z 24016G22KT 4SM +RA FG BKN033 OVC050 A2973 RMK BKN V OVC PCPN 0016 WSHFT PK WND 2437/1201 PRJMP 6/1154/1201; SLP069 8/146,M
SLE,1996-01-15 13:00,48.00,45.00,89.08,190.00,12.00,0.30,29.72,1006.40,7.00,M,BKN,OVC,   ,   ,4200.00,6000.00,M,M,RA,M,M,M,37.00,240.00,M,42.39,KSLE 151300Z 19012KT 7SM RA BKN042 OVC060 09/07 A2972 RMK PCPN 0030 WSHFT PK WND 2437/1201 PRJMP 6/1154/1201; SLP064 P0030 8/146 T00890072,M
SLE,1996-01-15 14:00,49.00,45.00,86.13,180.00,12.00,0.02,29.71,1006.00,10.00,M,SCT,   ,   ,   ,12000.00,M,M,M,M,M,M,M,M,M,M,43.54,KSLE 151400Z 18012KT 10SM SCT120 09/07 A2971 RMK RE19 PCPN 0002 PRESFR; SLP060 P0002 T00940072,M
SLE,1996-01-15 15:00,50.00,46.00,86.19,170.00,14.00,M,29.72,1006.40,10.00,21.00,SCT,   ,   ,   ,4000.00,M,M,M,M,M,M,M,M,M,M,44.36,KSLE 151500Z 17014G21KT 10SM SCT040 10/08 A2972 RMK 6032/; SLP064 T01000078 55010,M
SLE,1996-01-15 16:00,51.00,46.00,82.81,170.00,17.00,M,29.72,1006.40,10.00,21.00,SCT,SCT,BKN,   ,4000.00,4800.00,7500.00,M,M,M,M,M,M,M,M,51.08,KSLE 151600Z 17017G21KT 10SM SCT040 SCT048 BKN075 11/08 A2972 RMK SLP064 T01060078,M
SLE,1996-01-15 17:00,51.00,46.00,82.81,170.00,19.00,0.02,29.72,1006.40,10.00,23.00,BKN,OVC,   ,   ,4100.00,5000.00,M,M,-RA,M,M,M,26.00,170.00,M,51.08,KSLE 151700Z 17019G23KT 10SM -RA BKN041 OVC050 11/08 A2972 RMK RB05 PCPN 0002 PK WND 1726/1634; SLP064 P0002 T01060078,M
SLE,1996-01-15 18:00,52.00,47.00,82.87,170.00,21.00,M,29.72,1006.50,10.00,27.00,SCT,BKN,OVC,   ,3600.00,5000.00,6000.00,M,M,M,M,M,27.00,180.00,M,51.98,KSLE 151800Z 17021G27KT 10SM SCT036 BKN050 OVC060 11/08 A2972 RMK 6034/ 10054 20047 RE56 PCPN 0000 PK WND 1827/1709; SLP065 60001 T01110083 55030,M
SLE,1996-01-15 19:00,51.00,47.00,85.67,180.00,17.00,0.04,29.75,1007.40,7.00,24.00,SCT,BKN,OVC,   ,2200.00,3900.00,6000.00,M,-RA,M,M,M,29.00,170.00,M,51.08,KSLE 151900Z 18017G24KT 7SM -RA SCT022 BKN039 OVC060 11/08 A2975 RMK BKN V SCT RB14 PCPN 0004 PK WND 1729/1835 PRESRR; SLP074 P0004 T01060083,M
SLE,1996-01-15 20:00,51.00,48.00,89.22,180.00,18.00,0.01,29.74,1007.10,7.00,M,SCT,BKN,OVC,   ,1700.00,3900.00,6500.00,M,RA,M,M,M,26.00,170.00,M,51.08,KSLE 152000Z 18018KT 7SM RA SCT017 BKN039 OVC065 11/09 A2974 RMK BKN V SCT RE26B51 PCPN 0001 PK WND 1726/1915; SLP071 P0001 T01060089,M
