station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CXY,1996-01-01 00:00,36.00,32.00,85.37,360.00,5.00,M,29.96,M,3.00,M,SCT,BKN,OVC,   ,4000.00,6000.00,10000.00,M,M,M,M,M,M,M,M,31.10,KCXY 010000Z 36005KT 3SM DZ SCT040 BKN060 OVC100 02/00 A2996 RMK SLPNO T00220000,M
CXY,1996-01-01 01:00,36.86,32.00,82.38,180.00,6.00,M,29.96,M,5.00,M,OVC,   ,   ,   ,6000.00,M,M,M,M,M,M,M,M,M,M,31.38,KCXY 010100Z 18006KT 5SM DZ OVC060 03/00 A2996 RMK SLPNO T00270000,M
CXY,1996-01-01 02:00,36.86,33.00,85.42,180.00,7.00,M,29.95,M,5.00,M,OVC,   ,   ,   ,4500.00,M,M,M,M,M,M,M,M,M,M,30.70,KCXY 010200Z 18007KT 5SM FG OVC045 03/01 A2995 RMK SLPNO T00270005,M
CXY,1996-01-01 03:00,36.86,33.00,85.42,120.00,6.00,M,29.94,M,3.00,M,OVC,   ,   ,   ,3000.00,M,M,M,M,M,M,M,M,M,M,31.38,KCXY 010300Z 12006KT 3SM -RA FG OVC030 03/01 A2994 RMK LAST; SLPNO T00270005,M
CXY,1996-01-01 11:00,35.00,32.00,89.03,290.00,4.00,M,29.94,M,10.50,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,30.81,KCXY 011100Z 29004KT 21/2SM -DZ FG OVC020 02/M A2994 RMK SLPNO T0016////,M
CXY,1996-01-01 12:00,35.00,32.00,89.03,320.00,5.04,M,29.95,M,2.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,29.80,KCXY 011200Z 32005KT 2SM FG OVC020 02/M A2995 RMK SLPNO T0016////,M
CXY,1996-01-01 13:00,34.00,32.00,92.29,M,0.00,M,29.96,M,1.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,34.00,KCXY 011300Z 00000KT 1SM FG OVC020 01/M A2996 RMK SLPNO T0011////,M
CXY,1996-01-01 14:00,35.00,32.00,89.03,M,0.00,M,29.96,M,0.80,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,34.90,KCXY 011400Z 00000KT 3/4SM FG OVC035 02/M A2996 RMK SLPNO T0016////,M
CXY,1996-01-01 15:00,36.00,32.00,85.23,M,0.00,M,29.98,M,0.50,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,36.00,KCXY 011500Z 00000KT 1/2SM FG OVC019 02/M A2998 RMK SLPNO T0022////,M
CXY,1996-01-01 16:00,37.00,32.00,82.25,M,0.00,M,29.99,M,1.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,36.90,KCXY 011600Z 00000KT 1SM FG OVC020 03/M A2999 RMK SLPNO T0027////,M
CXY,1996-01-01 17:00,38.00,32.00,79.08,M,0.00,M,29.96,M,1.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,37.90,KCXY 011700Z 00000KT 1SM FG OVC020 03/M A2996 RMK SLPNO T0033////,M
CXY,1996-01-01 18:00,38.00,32.00,79.08,M,0.00,M,29.94,M,1.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,37.90,KCXY 011800Z 00000KT 1SM FG OVC020 03/M A2994 RMK SLPNO T0033////,M
CXY,1996-01-01 19:00,38.00,32.00,79.08,M,0.00,M,29.93,M,1.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,37.90,KCXY 011900Z 00000KT 1SM FG OVC020 03/M A2993 RMK SLPNO T0033////,M
CXY,1996-01-01 20:00,38.00,32.00,79.08,180.00,5.04,M,29.93,M,5.50,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,33.37,KCXY 012000Z 18005KT 11/2SM FG OVC020 03/M A2993 RMK SLPNO T0033////,M
CXY,1996-01-01 21:00,38.00,32.00,79.08,140.00,5.04,M,29.91,M,2.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,33.37,KCXY 012100Z 14005KT 2SM FG OVC020 03/M A2991 RMK SLPNO T0033////,M
CXY,1996-01-01 22:00,37.00,32.00,82.25,160.00,5.04,M,29.92,M,2.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,32.18,KCXY 012200Z 16005KT 2SM FG OVC020 03/M A2992 RMK SLPNO T0027////,M
CXY,1996-01-01 23:00,37.00,32.00,82.25,120.00,6.00,M,29.93,M,2.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,31.43,KCXY 012300Z 12006KT 2SM -DZ FG BKN015 OVC025 03/M A2993 RMK SLPNO T0027////,M
CXY,1996-01-02 00:00,35.00,32.00,89.03,360.00,5.04,M,29.95,M,5.50,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,29.80,KCXY 020000Z 36005KT 11/2SM -DZ FG BKN012 OVC020 02/M A2995 RMK SLPNO T0016////,M
CXY,1996-01-02 01:00,36.00,32.00,85.23,180.00,5.04,M,29.94,M,2.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,31.11,KCXY 020100Z 18005KT 2SM FG BKN014 OVC025 02/M A2994 RMK SLPNO T0022////,M
CXY,1996-01-02 02:00,36.00,32.00,85.23,M,0.00,M,29.94,M,2.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,36.00,KCXY 020200Z 00000KT 2SM FG OVC022 02/M A2994 RMK SLPNO T0022////,M
CXY,1996-01-02 03:00,36.00,32.00,85.23,30.00,5.04,M,29.94,M,2.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,31.11,KCXY 020300Z 03005KT 2SM -DZ FG OVC022 02/M A2994 RMK LAST; SLPNO T0022////,M
CXY,1996-01-02 11:00,34.00,32.00,92.29,120.00,5.04,M,29.87,M,1.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,28.73,KCXY 021100Z 12005KT 1SM -RA FG OVC005 01/M A2987 RMK SLPNO T0011////,M
CXY,1996-01-02 12:00,33.00,32.00,96.44,90.00,5.04,M,29.86,M,1.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,27.42,KCXY 021200Z 08005KT 1SM -DZ FG CLR 01/M A2986 RMK W6 Z 1L-F 33/M/0805/986; SLPNO T0005////,M
CXY,1996-01-02 13:00,34.00,32.00,92.29,110.00,6.00,M,29.85,M,1.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,27.94,KCXY 021300Z 11006KT 1SM -RA FG OVC005 01/M A2985 RMK R08VV11/4; SLPNO T0011////,M
CXY,1996-01-02 14:00,34.00,32.00,92.29,90.00,4.00,M,29.87,M,1.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,29.76,KCXY 021400Z 10004KT 1SM -RA FG OVC005 01/M A2987 RMK R08RVV11/8; SLPNO T0011////,M
CXY,1996-01-02 14:15,M,M,M,110.00,5.00,M,29.86,M,0.75,M,OVC,   ,   ,   ,500.00,M,M,M,-SN FG,M,M,M,M,M,M,M,KCXY 021415Z 11005KT 3/4SM -SN FG OVC005 A2986 RMK R08RVV 7/8; SLPNO,M
CXY,1996-01-02 15:00,34.00,32.00,92.29,140.00,6.00,M,29.85,M,0.80,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,27.94,KCXY 021500Z 14006KT 3/4SM -SN FG OVC005 01/M A2985 RMK R08RVV11/4; SLPNO T0011////,M
CXY,1996-01-02 16:00,34.00,32.00,92.29,130.00,5.04,M,29.86,M,0.80,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,28.73,KCXY 021600Z 13005KT 3/4SM -SN FG OVC005 01/M A2986 RMK SLPNO T0011////,M
CXY,1996-01-02 17:00,34.00,32.00,92.29,120.00,4.00,M,29.82,M,0.50,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,29.76,KCXY 021700Z 12004KT 1/2SM SN FG OVC005 01/M A2982 RMK R08VV1/2; SLPNO T0011////,M
CXY,1996-01-02 18:00,34.00,32.00,92.29,110.00,6.00,M,29.79,M,0.20,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,27.94,KCXY 021800Z 11006KT 1/4SM SN FG OVC003 01/M A2979 RMK R09VV3/8; SLPNO T0011////,M
CXY,1996-01-02 19:00,34.00,32.00,92.29,140.00,5.04,M,29.77,M,0.40,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,28.73,KCXY 021900Z 14005KT 3/8SM -SN FG OVC003 01/M A2977 RMK R08VV1/2; SLPNO T0011////,M
CXY,1996-01-02 20:00,33.00,32.00,96.44,70.00,6.00,M,29.75,M,0.80,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,26.61,KCXY 022000Z 07006KT 3/4SM -SN FG OVC006 01/M A2975 RMK R08VV3/4; SLPNO T0005////,M
CXY,1996-01-02 21:00,34.00,32.00,92.29,90.00,8.00,M,29.75,M,0.80,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,26.58,KCXY 022100Z 08008KT 3/4SM -RA FG OVC006 01/M A2975 RMK R08VV1; SLPNO T0011////,M
CXY,1996-01-02 22:00,34.00,32.00,92.29,90.00,9.04,M,29.74,M,0.80,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,25.98,KCXY 022200Z 08009KT 3/4SM -SN FG OVC005 01/M A2974 RMK R08VV1; SLPNO T0011////,M
CXY,1996-01-02 22:30,M,M,M,120.00,6.00,M,29.73,M,2.00,M,OVC,   ,   ,   ,800.00,M,M,M,-RASN FG,M,M,M,M,M,M,M,KCXY 022230Z 12006KT 2SM -RASN FG OVC008 A2973 RMK SLPNO,M
CXY,1996-01-02 23:00,34.00,32.00,92.29,90.00,6.00,M,29.73,M,2.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,27.94,KCXY 022300Z 10006KT 2SM -RA FG OVC008 01/M A2973 RMK SLPNO T0011////,M
CXY,1996-01-03 00:00,34.00,32.00,92.29,90.00,8.00,M,29.70,M,2.80,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,26.58,KCXY 030000Z 10008KT 11/4SM DZ FG OVC006 01/M A2970 RMK R08VV13/8; SLPNO T0011////,M
CXY,1996-01-03 01:00,34.00,32.00,92.29,120.00,7.04,M,29.69,M,5.50,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,27.19,KCXY 030100Z 12007KT 11/2SM -DZRA FG OVC007 01/M A2969 RMK R08VV11/2; SLPNO T0011////,M
CXY,1996-01-03 01:20,M,M,M,130.00,8.00,M,29.70,M,1.25,M,OVC,   ,   ,   ,500.00,M,M,M,-SN FG,M,M,M,M,M,M,M,KCXY 030120Z 13008KT 11/4SM -SN FG OVC005 A2970 RMK SLPNO,M
CXY,1996-01-03 02:00,33.00,32.00,96.44,110.00,10.00,M,29.68,M,1.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,24.10,KCXY 030200Z 11010KT 1SM -SN FG OVC005 01/M A2968 RMK RS W5 X 1S-F 33/M/1110/968/R08VV11/4; SLPNO T0005////,M
CXY,1996-01-03 03:00,M,M,M,90.00,10.00,M,29.63,M,3.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,KCXY 030300Z 08010KT 3SM -SN FG OVC012 M01/M A2963 RMK LAST; SLPNO T1006////,M
CXY,1996-01-03 11:00,M,M,M,70.00,10.00,M,29.45,M,3.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,KCXY 031100Z 07010KT 3SM -FZDZ FG OVC010 M02/M A2945 RMK SLPNO T1023////,M
CXY,1996-01-03 12:00,M,M,M,110.00,8.00,M,29.47,M,4.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,KCXY 031200Z 11008KT 4SM -FZDZ FG BKN010 OVC015 M02/M A2947 RMK SLPNO T1017////,M
CXY,1996-01-03 13:00,M,M,M,130.00,5.04,M,29.47,M,4.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,KCXY 031300Z 13005KT 4SM FG OVC025 M02/M A2947 RMK SLPNO T1017////,M
CXY,1996-01-03 14:00,M,M,M,180.00,5.04,M,29.47,M,4.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,KCXY 031400Z 17005KT 4SM FG OVC015 M01/M A2947 RMK SLPNO T1012////,M
CXY,1996-01-03 15:00,M,M,M,110.00,5.04,M,29.49,M,3.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,KCXY 031500Z 11005KT 3SM FG OVC015 M01/M A2949 RMK SLPNO T1006////,M
CXY,1996-01-03 16:00,32.00,32.00,100.00,140.00,8.00,M,29.49,M,3.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,24.11,KCXY 031600Z 14008KT 3SM FG OVC015 00/M A2949 RMK SLPNO T0000////,M
CXY,1996-01-03 17:00,32.00,32.00,100.00,90.00,5.04,M,29.49,M,3.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,26.35,KCXY 031700Z 09005KT 3SM FG OVC015 00/M A2949 RMK SLPNO T0000////,M
CXY,1996-01-03 19:00,M,M,M,20.00,4.00,M,29.51,M,2.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,KCXY 031900Z 02004KT 2SM -RA FG OVC008 M01/M A2951 RMK R08VV1; SLPNO T1006////,M
