station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
MYV,1996-12-20 15:47,37.40,37.40,100.00,100.00,6.00,M,30.18,M,0.25,M,VV ,   ,   ,   ,100.00,M,M,M,FG,M,M,M,M,M,M,32.03,KMYV 201547Z 10006KT 1/4SM FG VV001 03/03 A3018 RMK S,M
MYV,1996-12-20 16:48,37.40,37.40,100.00,80.00,6.00,M,30.19,1022.40,0.50,M,VV ,   ,   ,   ,200.00,M,M,M,FG,M,M,M,M,M,M,32.03,KMYV 201648Z COR 08006KT 1/2SM FG VV002 03/03 A3019 RMK SLP224,M
MYV,1996-12-20 17:51,37.40,35.60,93.14,140.00,8.00,M,30.19,1022.40,1.00,M,VV ,   ,   ,   ,400.00,M,M,M,BR,M,M,M,M,M,M,30.76,KMYV 201751Z 14008KT 1SM BR VV004 03/02 A3019 RMK SLP224 50003 20026,M
MYV,1996-12-20 18:48,37.40,35.60,93.14,130.00,8.00,M,30.16,1021.30,0.75,M,VV ,   ,   ,   ,300.00,M,M,M,BR,M,M,M,M,M,M,30.76,KMYV 201848Z 13008KT 3/4SM BR VV003 03/02 A3016 RMK SLP213,M
MYV,1996-12-20 19:47,39.20,37.40,93.19,130.00,6.00,M,30.14,1020.70,1.00,M,VV ,   ,   ,   ,400.00,M,M,M,BR,M,M,M,M,M,M,34.20,KMYV 201947Z 13006KT 1SM BR VV004 04/03 A3014 RMK SLP207,M
MYV,1996-12-20 20:49,39.20,37.40,93.19,130.00,11.00,M,30.09,1019.00,0.50,M,VV ,   ,   ,   ,200.00,M,M,M,FG,M,M,M,M,M,M,31.57,KMYV 202049Z 13011KT 1/2SM FG VV002 04/03 A3009 RMK SLP190 57034,M
MYV,1996-12-20 21:47,39.20,37.40,93.19,120.00,10.00,M,30.05,1017.30,1.00,M,VV ,   ,   ,   ,400.00,M,M,M,BR,M,M,M,M,M,M,32.00,KMYV 202147Z 12010KT 1SM BR VV004 04/03 A3005 RMK SLP173,M
MYV,1996-12-20 22:50,41.00,37.40,86.89,130.00,13.00,M,30.01,1016.30,1.50,M,VV ,   ,   ,   ,400.00,M,M,M,BR,M,M,M,M,M,M,33.10,KMYV 202250Z 13013KT 11/2SM BR VV004 05/03 A3001 RMK SLP163,M
MYV,1996-12-20 23:51,41.00,39.20,93.24,150.00,10.00,M,30.00,1015.80,1.00,M,VV ,   ,   ,   ,400.00,M,M,M,BR,M,M,M,M,M,M,34.25,KMYV 202351Z 15010KT 1SM BR VV004 05/04 A3000 RMK SLP158 57030 10053,M
MYV,1996-12-21 16:48,46.40,44.60,93.40,160.00,17.00,M,29.69,1005.40,3.00,22.00,BKN,OVC,   ,   ,500.00,2000.00,M,M,BR,M,M,M,M,M,M,38.94,KMYV 211648Z 16017G22KT 3SM BR BKN005 OVC020 08/07 A2969 RMK SLP054,M
MYV,1996-12-21 19:46,M,M,M,180.00,9.04,M,M,M,3.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,KMYV 211946Z 17009KT 3SM RABR BKN006 BKN0 ?????Y9!??,M
MYV,1996-12-21 23:54,46.40,44.60,93.40,180.00,10.00,M,29.62,1003.10,3.00,M,SCT,OVC,   ,   ,600.00,1000.00,M,M,RABR,M,M,M,M,M,M,41.03,KMYV 212354Z 18010KT 3SM RABR SCT006 OVC010 08/07 A2962 RMK SLP031 55010 10086 70087,M
MYV,1996-12-22 00:52,46.40,44.60,93.40,160.00,8.00,M,29.60,1002.40,3.00,M,SCT,OVC,   ,   ,600.00,1000.00,M,M,RABR,M,M,M,M,M,M,41.85,KMYV 220052Z 16008KT 3SM RABR SCT006 OVC010 08/07 A2960 RMK SLP024 LAST,M
MYV,1996-12-22 15:54,46.40,42.80,87.19,150.00,13.00,M,29.66,1004.40,8.00,M,FEW,SCT,OVC,   ,2000.00,6000.00,15000.00,M,M,M,M,M,M,M,M,40.02,KMYV 221554Z 15013KT 8SM FEW020 SCT060 OVC150 08/06 A2966 RMK SLP044,M
MYV,1996-12-22 16:52,48.20,44.60,87.28,140.00,19.00,M,29.67,1004.70,10.00,M,FEW,SCT,OVC,   ,1000.00,2000.00,6000.00,M,M,M,M,M,M,M,M,40.86,KMYV 221652Z 14019KT 10SM FEW010 SCT020 OVC060 09/07 A2967 RMK SLP047,M
MYV,1996-12-22 17:50,48.20,44.60,87.28,160.00,18.00,M,29.68,1005.10,3.00,23.00,FEW,BKN,OVC,   ,500.00,1000.00,3000.00,M,RABR,M,M,M,M,M,M,41.07,KMYV 221750Z 16018G23KT 3SM RABR FEW005 BKN010 OVC030 09/07 A2968 RMK RAB11 SLP051 51010 20068,M
MYV,1996-12-22 18:48,48.20,44.60,87.28,150.00,24.00,M,29.70,1005.70,15.00,29.00,BKN,OVC,   ,   ,1000.00,3000.00,M,M,M,M,M,M,M,M,M,39.91,KMYV 221848Z 15024G29KT 15SM BKN010 OVC030 09/07 A2970 RMK RAE26 SLP057,M
MYV,1996-12-22 19:57,48.20,44.60,87.28,190.00,19.44,M,29.65,1004.10,10.00,38.88,SCT,BKN,OVC,   ,800.00,1000.00,3000.00,M,RA,M,M,M,M,M,M,40.77,KMYV 221957Z 19010G20 10SM RA SCT008 BKN010 OVC030 09/07 A2965 RMK BINOVC SLP041,M
MYV,1996-12-22 21:48,55.40,41.00,58.27,220.00,20.00,M,29.71,1006.10,35.00,M,FEW,SCT,   ,   ,2500.00,6000.00,M,M,M,M,M,M,M,M,M,55.40,KMYV 222148Z 22020KT 35SM FEW025 SCT060 13/05 A2971 RMK SLP061,M
MYV,1996-12-22 23:52,53.60,41.00,62.23,180.00,10.00,M,29.84,1010.50,40.00,M,SCT,   ,   ,   ,2500.00,M,M,M,M,M,M,M,M,M,M,53.60,KMYV 222352Z 18010KT 40SM SCT025 12/05 A2984 RMK SLP105 53047 10128,M
MYV,1996-12-23 00:48,50.00,39.20,66.27,200.00,9.00,M,29.88,1011.90,40.00,M,FEW,   ,   ,   ,2500.00,M,M,M,M,M,M,M,M,M,M,45.90,KMYV 230048Z 20009KT 40SM FEW025 10/04 A2988 RMK SLP119 LAST,M
MYV,1996-12-23 15:55,46.40,42.80,87.19,140.00,10.00,M,30.33,1027.10,15.00,M,FEW,SCT,OVC,   ,1000.00,5000.00,15000.00,M,M,M,M,M,M,M,M,41.03,KMYV 231555Z 14010KT 15SM FEW010 SCT050 OVC150 08/06 A3033 RMK SLP271,M
MYV,1996-12-23 16:55,48.20,42.80,81.47,140.00,10.00,M,30.36,1028.10,15.00,M,FEW,SCT,BKN,   ,1000.00,2500.00,18000.00,M,M,M,M,M,M,M,M,43.28,KMYV 231655Z 14010KT 15SM FEW010 SCT025 BKN180 09/06 A3036 RMK MTNS OBSCD E SLP281,M
MYV,1996-12-23 17:55,51.80,44.60,76.34,140.00,10.00,M,30.40,1029.50,15.00,M,FEW,SCT,BKN,   ,2000.00,3000.00,20000.00,M,M,M,M,M,M,M,M,51.80,KMYV 231755Z 14010KT 15SM FEW020 SCT030 BKN200 11/07 A3040 RMK MTNS OBSCD E SLP295 520034 20067,M
MYV,1996-12-23 18:54,53.60,44.60,71.45,140.00,12.00,M,30.42,1030.20,15.00,M,FEW,SCT,SCT,   ,2000.00,4000.00,20000.00,M,M,M,M,M,M,M,M,53.60,KMYV 231854Z 14012KT 15SM FEW020 SCT040 SCT200 12/07 A3042 RMK SLP302,M
MYV,1996-12-23 19:51,55.40,44.60,66.91,150.00,10.00,M,30.41,1029.80,25.00,M,FEW,SCT,SCT,   ,2000.00,5000.00,25000.00,M,M,M,M,M,M,M,M,55.40,KMYV 231951Z 15010KT 25SM FEW020 SCT050 SCT250 13/07 A3041 RMK SLP298,M
MYV,1996-12-23 20:52,57.20,46.40,67.12,150.00,10.00,M,30.40,M,25.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,57.20,KMYV 232052Z 15010KT 25SM SCT030 BKN250 14/08 A3040 SLP295 50000,M
MYV,1996-12-23 21:48,59.00,44.60,58.77,M,4.00,M,30.40,1029.50,25.00,M,SCT,BKN,   ,   ,3500.00,25000.00,M,M,M,M,M,M,M,M,M,59.00,KMYV 232148Z VRB04KT 25SM SCT035 BKN250 15/07 A3040 RMK SLP295,M
MYV,1996-12-23 22:55,59.00,42.80,54.86,160.00,7.00,M,30.40,1029.50,25.00,M,SCT,BKN,   ,   ,4000.00,25000.00,M,M,M,M,M,M,M,M,M,59.00,KMYV 232255Z 16007KT 25SM SCT040 BKN250 15/06 A3040 RMK SLP295,M
MYV,1996-12-23 23:50,57.20,41.00,54.60,M,4.00,M,30.40,1029.50,25.00,M,SCT,BKN,   ,   ,5000.00,25000.00,M,M,M,M,M,M,M,M,M,57.20,KMYV 232350Z VRB04KT 25SM SCT050 BKN250 14/05 A3040 RMK SLP295 54000 10156,M
MYV,1996-12-24 00:45,53.60,41.00,62.23,0.00,0.00,M,30.40,1029.50,25.00,M,FEW,SCT,   ,   ,6000.00,25000.00,M,M,M,M,M,M,M,M,M,53.60,KMYV 240045Z 00000KT 25SM FEW060 SCT250 12/05 A3040 RMK SLP295 LAST,M
MYV,1996-12-24 15:53,37.40,37.40,100.00,350.00,5.00,M,30.39,1029.10,35.00,M,SCT,BKN,   ,   ,20000.00,25000.00,M,M,M,M,M,M,M,M,M,32.81,KMYV 241553Z 35005KT 35SM SCT200 BKN250 03/03 A3039 RMK SLP291,M
MYV,1996-12-24 16:58,41.00,39.20,93.24,350.00,5.00,M,30.40,1029.50,35.00,M,SCT,BKN,   ,   ,20000.00,25000.00,M,M,M,M,M,M,M,M,M,37.08,KMYV 241658Z 35005KT 35SM SCT200 BKN250 05/04 A3040 RMK SLP295,M
MYV,1996-12-24 17:55,41.00,39.20,93.24,340.00,7.00,M,30.40,1029.50,35.00,M,SCT,BKN,   ,   ,20000.00,25000.00,M,M,M,M,M,M,M,M,M,35.75,KMYV 241755Z 34007KT 35SM SCT200 BKN250 05/04 A3040 RMK FG BNK E SLP295 54000 20019,M
MYV,1996-12-24 18:55,46.40,39.20,75.84,330.00,5.00,M,30.39,1029.10,35.00,M,SCT,BKN,   ,   ,20000.00,25000.00,M,M,M,M,M,M,M,M,M,43.50,KMYV 241855Z 33005KT 35SM SCT200 BKN250 08/04 A3039 RMK SLP291,M
MYV,1996-12-24 19:52,50.00,37.40,61.76,320.00,5.00,M,30.36,1028.10,65.00,M,SCT,BKN,   ,   ,20000.00,25000.00,M,M,M,M,M,M,M,M,M,47.77,KMYV 241952Z 32005KT 65SM SCT200 BKN250 10/03 A3036 RMK SLP281,M
MYV,1996-12-24 21:50,51.80,39.20,61.99,320.00,5.00,M,30.30,1026.10,65.00,M,OVC,   ,   ,   ,25000.00,M,M,M,M,M,M,M,M,M,M,51.80,KMYV 242150Z 32005KT 65SM OVC250 11/04 A3030 RMK SLP261,M
MYV,1996-12-24 22:55,51.80,39.20,61.99,M,5.00,M,30.29,1025.70,65.00,M,OVC,   ,   ,   ,25000.00,M,M,M,M,M,M,M,M,M,M,51.80,KMYV 242255Z VRB05KT 65SM OVC250 11/04 A3029 RMK SLP257,M
MYV,1996-12-24 23:54,51.80,39.20,61.99,0.00,0.00,M,30.27,1025.00,65.00,M,OVC,   ,   ,   ,25000.00,M,M,M,M,M,M,M,M,M,M,51.80,KMYV 242354Z 00000KT 65SM OVC250 11/04 A3027 RMK SLP250 57017 10120,M
MYV,1996-12-25 00:45,48.20,39.20,70.88,0.00,0.00,M,30.26,1024.70,35.00,M,BKN,   ,   ,   ,25000.00,M,M,M,M,M,M,M,M,M,M,48.20,KMYV 250045Z 00000KT 35SM BKN250 09/04 A3026 RMK SLP247 LAST,M
MYV,1996-12-25 15:03,32.00,32.00,100.00,0.00,0.00,M,30.16,1021.30,15.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,32.00,KMYV 251503Z 00000KT 15SM SKC 00/00 A3016 RMK SLP213 401200000,M
MYV,1996-12-25 15:49,33.80,32.00,93.03,130.00,5.00,M,30.15,1021.00,40.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,28.53,KMYV 251549Z 13005KT 40SM SKC 01/00 A3015 RMK SLP210,M
MYV,1996-12-25 16:48,39.20,37.40,93.19,M,4.00,M,30.16,1021.30,40.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,35.83,KMYV 251648Z VRB04KT 40SM SKC 04/03 A3016 RMK SLP213,M
MYV,1996-12-25 17:51,44.60,39.20,81.20,0.00,0.00,M,30.16,1021.30,40.00,M,FEW,   ,   ,   ,18000.00,M,M,M,M,M,M,M,M,M,M,44.60,KMYV 251751Z 00000KT 40SM FEW180 07/04 A3016 RMK SLP213 50000 20000,M
MYV,1996-12-25 18:48,51.80,39.20,61.99,240.00,7.00,M,30.15,1021.00,40.00,M,SCT,   ,   ,   ,18000.00,M,M,M,M,M,M,M,M,M,M,51.80,KMYV 251848Z 24007KT 40SM SCT180 11/04 A3015 RMK SLP210,M
MYV,1996-12-25 19:47,51.80,41.00,66.48,250.00,5.00,M,30.16,1021.30,M,M,SCT,   ,   ,   ,18000.00,M,M,M,M,M,M,M,M,M,M,51.80,KMYV 251947Z 25005KT SCT180 11/05 A3016 RMK SLP213,M
MYV,1996-12-25 20:51,51.80,39.20,61.99,180.00,4.00,M,30.08,1018.70,M,M,BKN,   ,   ,   ,18000.00,M,M,M,M,M,M,M,M,M,M,51.80,KMYV 252051Z 18004KT BKN180 11/04 A3008 RMK SLP187,M
MYV,1996-12-25 21:47,51.80,41.00,66.48,126.00,5.00,M,30.05,1017.60,M,M,BKN,   ,   ,   ,18000.00,M,M,M,M,M,M,M,M,M,M,51.80,KMYV 252147Z 126005T BKN180 11/05 A3005 RMK SLP176,M
MYV,1996-12-25 22:51,M,M,M,180.00,5.04,M,M,M,20.00,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,KMYV 252251Z 19005KT 20SM BKN180 11/}????Y}D???F?6!??S0?O},M
MYV,1996-12-25 23:51,51.80,42.80,71.26,220.00,5.00,M,30.03,1016.90,15.00,M,BKN,   ,   ,   ,18000.00,M,M,M,M,M,M,M,M,M,M,51.80,KMYV 252351Z 22005KT 15SM BKN180 11/06 A3003 RMK SLP169 57017 10125,M
MYV,1996-12-26 15:47,44.60,42.80,93.35,130.00,10.00,M,29.87,1011.50,2.00,M,OVC,   ,   ,   ,500.00,M,M,M,-RA BR,M,M,M,M,M,M,38.77,KMYV 261547Z 13010KT 2SM -RA BR OVC005 07/06 A2987 RMK SLP115,M
MYV,1996-12-26 16:49,44.60,42.80,93.35,140.00,12.00,M,29.86,1011.20,1.50,M,OVC,   ,   ,   ,500.00,M,M,M,-RA BR,M,M,M,M,M,M,38.04,KMYV 261649Z 14012KT 1 1/2SM -RA BR OVC005 07/06 A2986 RMK SLP112,M
MYV,1996-12-26 17:51,46.40,44.60,93.40,150.00,10.00,M,29.86,1011.20,1.50,M,OVC,   ,   ,   ,500.00,M,M,M,-RA BR,M,M,M,M,M,M,41.03,KMYV 261751Z 15010KT 1 1/2SM -RA BR OVC005 08/07 A2986 RMK SLP112 56007 20063,M
MYV,1996-12-26 20:49,46.40,46.40,100.00,170.00,12.00,M,29.76,1007.80,1.00,M,OVC,   ,   ,   ,400.00,M,M,M,RA BR,M,M,M,M,M,M,40.33,KMYV 262049Z 17012KT 1SM RA BR OVC004 08/08 A2976 RMK SLP078 57034,M
MYV,1996-12-26 21:48,48.20,46.40,93.45,150.00,16.00,M,29.73,1006.80,4.00,M,BKN,OVC,   ,   ,500.00,1000.00,M,M,-RA BR,M,M,M,M,M,M,41.53,KMYV 262148Z 15016KT 4SM -RA BR BKN005 OVC010 09/08 A2973 RMK SLP068,M
MYV,1996-12-26 23:51,50.00,48.20,93.50,160.00,16.00,M,29.70,1005.70,3.00,M,BKN,OVC,   ,   ,300.00,600.00,M,M,-RA BR,M,M,M,M,M,M,43.88,KMYV 262351Z 16016KT 3SM RA- BR BKN003 OVC006 10/09 A2970 RMK SLP057 56020 10108 70035,M
MYV,1996-12-27 00:50,50.00,48.20,93.50,160.00,18.00,M,29.69,1005.40,1.00,25.00,BKN,OVC,   ,   ,300.00,600.00,M,M,-RA BR,M,M,M,M,M,M,43.44,KMYV 270050Z 16018G25KT 1SM -RA BR BKN003 OVC006 10/09 A2969 RMK SLP054 LAST,M
MYV,1996-12-27 15:47,50.00,48.20,93.50,140.00,14.00,M,29.84,1010.50,7.00,M,BKN,OVC,   ,   ,8000.00,12000.00,M,M,M,M,M,M,M,M,M,44.36,KMYV 271547Z 14014KT 7SM BKN080 OVC120 10/09 A2984 RMK SLP105 BINOVC,M
MYV,1996-12-27 16:48,51.80,48.20,87.47,140.00,14.00,M,29.86,1011.20,7.00,M,BKN,OVC,   ,   ,6000.00,10000.00,M,M,M,M,M,M,M,M,M,51.80,KMYV 271648Z 14014KT 7SM BKN060 OVC100 11/09 A2986 RMK SLP112,M
